Xi,fb_core,eta,f_r,f_rho,eps,converged,nodes,method,valid
0.0,0.0,0.1,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.0,0.3,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.0,0.5,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.0,1.0,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.0,1.5,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.0,2.0,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.0,5.0,1.0000011425933002,1.000002262916851,-0.6406727528341095,1,0,direct,1
0.0,0.05,0.1,0.9528973087812103,1.0693440975283746,-0.6184034625085036,1,0,direct,1
0.0,0.05,0.3,0.96590064037194,1.060183453355871,-0.6289804815959517,1,0,direct,1
0.0,0.05,0.5,0.9718955643727442,1.0572335702090738,-0.6369375111270984,1,0,direct,1
0.0,0.05,1.0,0.9759108444742693,1.063571167260759,-0.6592153853248504,1,0,direct,1
0.0,0.05,1.5,0.9753241092946777,1.0768703082771018,-0.6959575705095705,1,0,direct,1
0.0,0.05,2.0,0.9739278612013978,1.0905102952681878,-0.7524224497157317,1,0,direct,1
0.0,0.05,5.0,0.9689652101443246,1.1340640321285729,-1.5288070490051822,1,0,continuation,1
0.0,0.1,0.1,0.9063401603370402,1.1470693767871525,-0.5978846156542111,1,0,direct,1
0.0,0.1,0.3,0.9328503278795115,1.1259360651734411,-0.6189074002353847,1,0,direct,1
0.0,0.1,0.5,0.9448935077507514,1.1188922827062686,-0.6349427132079022,1,0,direct,1
0.0,0.1,1.0,0.9531183836419973,1.1309215518080125,-0.6806581694690553,1,0,direct,1
0.0,0.1,1.5,0.9523517948048963,1.157180027899856,-0.7563185626553036,1,0,direct,1
0.0,0.1,2.0,0.950061127197163,1.1834806152864754,-0.87202867157311,1,0,direct,1
0.0,0.1,5.0,0.9422020039985418,1.260750322230245,-2.4377700277651315,1,0,continuation,1
0.0,0.15,0.1,0.860836178361899,1.2344176254401968,-0.579260579007348,1,0,direct,1
0.0,0.15,0.3,0.900997541768562,1.1977777820429887,-0.6105527397205243,1,0,direct,1
0.0,0.15,0.5,0.9190324627086849,1.1852306543668214,-0.6347626268795189,1,0,direct,1
0.0,0.15,1.0,0.93157173682498,1.2019933153976885,-0.7049994473671278,1,0,direct,1
0.0,0.15,1.5,0.9309624657144057,1.240580871114579,-0.8214898156317079,1,0,direct,1
0.0,0.15,2.0,0.9281535555649398,1.278367878208193,-0.9986430343139041,1,0,direct,1
0.0,0.15,5.0,0.9187265427496987,1.3823946723749123,-3.3613136316184637,1,0,continuation,1
0.0,0.2,0.1,0.8168505400662899,1.3328037717259686,-0.562685812820931,1,0,direct,1
0.0,0.2,0.3,0.8704552169721209,1.276241555719657,-0.6040148735770556,1,0,direct,1
0.0,0.2,0.5,0.8943273384444331,1.2564863423088033,-0.6364644717735276,1,0,direct,1
0.0,0.2,1.0,0.91121995007064,1.2766882895435787,-0.7322123771467096,1,0,direct,1
0.0,0.2,1.5,0.9110303201416841,1.3267145515893166,-0.891176254298009,1,0,direct,1
0.0,0.2,2.0,0.9080021580553344,1.3747276941487225,-1.1314795346326132,1,0,direct,1
0.0,0.2,5.0,0.8978642317337402,1.5001732907049108,-4.295748366393512,1,0,continuation,1
0.0,0.3,0.1,0.7349138190855189,1.5692724574038592,-0.5363411505206853,1,0,direct,1
0.0,0.3,0.3,0.8135684068864771,1.45523321471694,-0.5967661516062212,1,0,direct,1
0.0,0.3,0.5,0.8483855399593959,1.414585203249658,-0.6457376441452611,1,0,direct,1
0.0,0.3,1.0,0.8738462667081677,1.4364356295523073,-0.7950347650492797,1,0,direct,1
0.0,0.3,1.5,0.8750656964517425,1.5058641102253985,-1.0428610661464115,1,0,direct,1
0.0,0.3,2.0,0.8722142984338427,1.570475811503426,-1.4130668942735771,1,0,continuation,1
0.0,0.3,5.0,0.8621677271024176,1.7267859269735344,-6.188384206225813,1,0,direct,1
0.0,0.4,0.1,0.6625196921696463,1.871505686855493,-0.5201979362359869,1,0,direct,1
0.0,0.4,0.3,0.7624389276000161,1.6672667090356945,-0.5978482896600698,1,0,direct,1
0.0,0.4,0.5,0.806929910459567,1.5945734692727658,-0.6631003347086046,1,0,direct,1
0.0,0.4,1.0,0.8405031192993835,1.6088979988083747,-0.8685125848189242,1,0,direct,1
0.0,0.4,1.5,0.8435939051424012,1.6922378590740788,-1.2089507662643904,1,0,continuation,1
0.0,0.4,2.0,0.8414119468836017,1.7685418897545475,-1.7120739876147921,1,0,direct,1
0.0,0.4,5.0,0.8324852357074649,1.9440555205942132,-8.103667700548238,1,0,direct,1
0.0,0.5,0.1,0.6001582912905523,2.2570836144152846,-0.5155501618766066,1,0,direct,1
0.0,0.5,0.3,0.716932566316054,1.9163178829778824,-0.6077913406261001,1,0,direct,1
0.0,0.5,0.5,0.769674698118036,1.7972653601912383,-0.6886975066313437,1,0,direct,1
0.0,0.5,1.0,0.8107077465930709,1.7926007329710791,-0.9518321755356912,1,0,direct,1
0.0,0.5,1.5,0.8158786289162973,1.8838880534162263,-1.3872353751003348,1,0,continuation,1
0.0,0.5,2.0,0.8146084613506362,1.9675124354004683,-2.0249091988660886,1,0,direct,1
0.0,0.5,5.0,0.8072123933691715,2.1539133887058535,-10.034959986751614,1,0,direct,1
0.0,0.8,0.1,0.4649343826234805,4.099492358320518,-0.5790621275177197,1,0,direct,1
0.0,0.8,0.3,0.609723402950438,2.9127169090275054,-0.6927011206862309,1,0,direct,1
0.0,0.8,0.5,0.6794023595348655,2.5407934486286083,-0.8135029266274181,1,0,direct,1
0.0,0.8,1.0,0.7383385037433309,2.3963283592311115,-1.2517673849141995,1,0,continuation,1
0.0,0.8,1.5,0.7496735371910526,2.4770018956917212,-1.9777713356586908,1,0,continuation,1
0.0,0.8,2.0,0.7514095416690217,2.5622013598917857,-3.022424314959137,1,0,continuation,1
0.0,0.8,5.0,0.7488652291510813,2.7498499135189456,-15.890498964486229,1,0,direct,1
0.01,0.0,0.1,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
0.01,0.0,0.3,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
0.01,0.0,0.5,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
0.01,0.0,1.0,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
0.01,0.0,1.5,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
0.01,0.0,2.0,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
