x,s,v,rho_over_rho0
5.303768081154548029e-07,1.885451974329758873e-06,-4.733215801512933751e+00,1.000000000000000000e+00
5.344489965866980944e-07,1.899928315820312150e-06,-4.733215801512933751e+00,1.000000000000000888e+00
5.385524509781165982e-07,1.914515805441818840e-06,-4.733215801512933751e+00,1.000000000000000888e+00
5.426874113468114757e-07,1.929215296580265528e-06,-4.733215801512932863e+00,1.000000000000000000e+00
5.468541195930254640e-07,1.944027649173876137e-06,-4.733215801512931975e+00,9.999999999999993339e-01
5.510528194742876911e-07,1.958953729763396467e-06,-4.733215801512931087e+00,9.999999999999990008e-01
5.552837566196780275e-07,1.973994411542801393e-06,-4.733215801512930199e+00,9.999999999999985567e-01
5.595471785441948837e-07,1.989150574410372228e-06,-4.733215801512928422e+00,9.999999999999970024e-01
5.638433346632390490e-07,2.004423105020189121e-06,-4.733215801512926646e+00,9.999999999999961142e-01
5.681724763071987528e-07,2.019812896833973290e-06,-4.733215801512925758e+00,9.999999999999947820e-01
5.725348567361563791e-07,2.035320850173374360e-06,-4.733215801512923093e+00,9.999999999999932276e-01
5.769307311547044499e-07,2.050947872272635913e-06,-4.733215801512920429e+00,9.999999999999913403e-01
5.813603567268733101e-07,2.066694877331665910e-06,-4.733215801512918652e+00,9.999999999999895639e-01
5.858239925911806793e-07,2.082562786569534448e-06,-4.733215801512915100e+00,9.999999999999877875e-01
5.903218998757846480e-07,2.098552528278340816e-06,-4.733215801512912435e+00,9.999999999999851230e-01
5.948543417137642578e-07,2.114665037877538381e-06,-4.733215801512909771e+00,9.999999999999829026e-01
5.994215832585111485e-07,2.130901257968647407e-06,-4.733215801512905330e+00,9.999999999999803491e-01
6.040238916992458261e-07,2.147262138390415960e-06,-4.733215801512902665e+00,9.999999999999777955e-01
6.086615362766416078e-07,2.163748636274360706e-06,-4.733215801512898224e+00,9.999999999999747979e-01
6.133347882985802831e-07,2.180361716100779082e-06,-4.733215801512893783e+00,9.999999999999720224e-01
6.180439211560226516e-07,2.197102349755165922e-06,-4.733215801512890231e+00,9.999999999999688027e-01
6.227892103390010348e-07,2.213971516585067162e-06,-4.733215801512884902e+00,9.999999999999652500e-01
6.275709334527407484e-07,2.230970203457389659e-06,-4.733215801512880461e+00,9.999999999999619194e-01
6.323893702338929592e-07,2.248099404816108703e-06,-4.733215801512875132e+00,9.999999999999583666e-01
6.372448025669045496e-07,2.265360122740459602e-06,-4.733215801512869803e+00,9.999999999999540368e-01
