Xi,fb_core,eta,f_r,f_rho,eps,nodes,method,valid
0.7120224167,0.0663579408,1.4512829501,0.3583625072,4.9689330085,-0.6111835717,0,direct,1
0.7774331666,0.0432593052,4.0980125361,0.3325157927,5.8216887401,-1.0727562567,0,continuation,1
0.8026792936,0.6698557061,0.2687282217,0.2739797563,14.1166741319,-1.0980604581,0,continuation,1
0.6760423595,0.0822545886,0.1115210919,0.3571708804,4.8783829792,-0.5046604151,0,direct,1
0.5996481193,0.3636102960,4.1575057102,0.3952410484,5.7826420484,-5.3848257342,0,continuation,1
0.0080639073,0.4855503769,0.2148806328,0.6788318904,2.0077429430,-0.5689357952,0,direct,1
0.1477407927,0.7513609375,0.4415654606,0.5710856888,3.3284628763,-0.7732151345,0,direct,1
0.5073101763,0.6794203741,3.1645626217,0.4253849562,6.0569251285,-5.9127036181,0,continuation,1
0.5555173016,0.2868200611,0.1112803688,0.3593598621,5.5191113919,-0.5562321429,0,direct,1
0.0405900556,0.2973211794,2.3641433322,0.8310007469,1.7184361273,-1.7396195749,0,direct,1
0.9426690163,0.1389783849,1.5884604326,0.2766074334,9.5225667651,-0.9499884122,0,continuation,1
0.3582217393,0.5537296080,0.1337866231,0.3898221089,5.5596889522,-0.6167853463,0,direct,1
0.3547728304,0.1525620434,0.3318827635,0.5499502889,2.3837194184,-0.5019596569,0,direct,1
0.2665221854,0.0678469062,0.5323385057,0.6665861662,1.7192621486,-0.5182992889,0,direct,1
0.1774600418,0.0070921488,0.1623518027,0.7848514251,1.3404469570,-0.5425820654,0,direct,1
0.2287474314,0.0671791919,0.4416729706,0.7031269419,1.5965612452,-0.5259396491,0,direct,1
0.8475102612,0.1018880850,0.2007755156,0.2974069052,7.7001003589,-0.6082773817,0,direct,1
0.3573295742,0.7832892372,0.1141783225,0.3348618546,8.7832331312,-0.7785171263,0,continuation,1
0.4947061177,0.1013688640,0.1528360224,0.4494209499,3.1496831572,-0.4731038361,0,direct,1
0.8607472648,0.5359733155,0.8941263183,0.2894526803,10.8308481998,-1.2487933249,0,continuation,1
0.0034970845,0.7868150930,4.7819857177,0.7484615671,2.7353206473,-14.3424721448,0,continuation,1
0.0757203095,0.7758903895,2.7687376851,0.6964548887,2.9592273543,-5.1130110210,0,continuation,1
0.7184658540,0.4831173065,0.1209682528,0.2791025393,11.6280063958,-0.8241674902,0,continuation,1
